rad,cp,ms,kmh
150,1002,18,65
150,1002,18,65
0,1006,-1,-4
150,1002,18,65
0,1006,-1,-4
150,1004,17,61
0,1008,-1,-4
150,1004,17,61
0,1008,-1,-4
150,1004,17,61
0,1008,-1,-4
0,1006,-1,-4
150,1000,17,61
200,996,19,68
250,992,22,79
200,996,19,68
170,998,18,65
150,1000,17,61
200,996,19,68
250,992,22,79
300,988,25,90
250,992,22,79
180,996,19,68
150,998,18,65
230,994,21,76
250,990,24,86
250,988,25,90
220,994,21,76
180,996,19,68
0,1000,-1,-4
230,994,21,76
270,985,27,97
270,985,27,97
240,992,22,79
200,996,19,68
0,1000,-1,-4
230,994,21,76
270,985,27,97
250,990,24,86
200,996,19,68
0,1000,-1,-4
230,994,21,76
250,990,24,86
180,996,19,68
150,999,18,65
0,1002,-1,-4
250,992,22,79
270,990,24,86
200,996,19,68
0,1000,-1,-4
260,992,22,79
280,990,24,86
220,996,19,68
0,1000,-1,-4
280,990,24,86
280,990,24,86
220,996,19,68
0,1000,-1,-4
270,990,24,86
230,994,21,76
0,1000,-1,-4
270,990,24,86
200,996,19,68
0,1002,-1,-4
280,990,24,86
220,996,19,68
0,1002,-1,-4
270,992,22,79
220,996,19,68
0,1004,-1,-4
250,992,22,79
200,998,18,65
0,1004,-1,-4
250,992,22,79
200,998,18,65
0,1002,-1,-4
220,996,19,68
0,1002,-1,-4
200,998,18,65
0,1004,-1,-4
0,1004,-1,-4
300,998,18,65
350,994,21,76
400,990,24,86
400,990,24,86
350,994,21,76
300,998,18,65
320,996,19,68
350,994,21,76
400,990,24,86
350,994,21,76
0,998,-1,-4
320,996,19,68
350,994,21,76
400,990,24,86
350,994,21,76
0,998,-1,-4
370,994,21,76
400,990,24,86
370,992,22,79
320,996,19,68
0,998,-1,-4
400,994,21,76
430,990,24,86
370,992,22,79
0,998,-1,-4
350,994,21,76
350,990,24,86
320,994,21,76
0,1000,-1,-4
330,994,21,76
340,992,22,79
0,996,-1,-4
330,992,22,79
250,994,21,76
0,998,-1,-4
310,992,22,79
270,992,22,79
230,994,21,76
200,996,19,68
0,998,-1,-4
270,994,21,76
230,994,21,76
190,996,19,68
0,998,-1,-4
250,996,19,68
210,996,19,68
190,998,18,65
0,1000,-1,-4
230,996,19,68
190,998,18,65
0,1000,-1,-4
0,1000,-1,-4
150,1000,18,65
170,998,18,65
200,996,19,68
250,990,24,86
200,998,18,65
0,1002,-1,-4
150,1000,18,65
180,996,19,68
220,994,21,76
250,990,24,86
0,1000,-1,-4
150,1000,18,65
180,996,19,68
200,994,21,76
230,990,24,86
0,1002,-1,-4
150,1000,18,65
200,996,19,68
230,990,24,86
200,996,19,68
0,1002,-1,-4
170,998,18,65
210,994,21,76
230,990,24,86
0,1000,-1,-4
170,998,18,65
210,994,21,76
220,992,22,79
0,1002,-1,-4
180,998,18,65
220,992,22,79
200,998,18,65
0,1002,-1,-4
180,994,21,76
220,990,24,86
180,998,18,65
0,1002,-1,-4
200,994,21,76
220,990,24,86
0,1002,-1,-4
250,990,24,86
250,990,24,86
0,1002,-1,-4
250,990,24,86
200,994,21,76
0,1002,-1,-4
280,985,27,97
200,994,21,76
0,1004,-1,-4
280,985,27,97
0,1000,-1,-4
230,990,24,86
0,1000,-1,-4
220,992,22,79
0,1002,-1,-4
180,998,18,65
0,1004,-1,-4
0,1000,-1,-4
150,1000,18,65
200,994,21,76
250,985,27,97
300,975,34,122
350,970,36,130
330,975,34,122
200,996,19,68
250,990,24,86
300,980,31,112
350,970,36,130
400,965,38,137
350,970,36,130
280,985,27,97
350,970,36,130
400,960,40,144
430,950,43,155
450,945,45,162
430,950,43,155
300,975,31,112
350,960,40,144
430,950,43,155
450,945,45,162
450,945,45,162
400,955,41,148
320,970,36,130
350,960,40,144
430,950,43,155
480,940,47,169
420,955,41,148
350,970,36,130
350,965,38,137
400,950,43,155
480,935,48,173
450,940,47,169
380,960,40,144
300,980,31,112
380,955,41,148
450,940,47,169
480,930,50,180
450,940,47,169
320,970,36,130
150,998,18,65
400,935,48,173
430,925,51,184
430,925,51,184
350,950,43,155
250,980,31,112
0,1000,-1,-4
450,925,51,184
480,915,54,194
480,915,54,194
380,950,43,155
250,985,27,97
0,1000,-1,-4
450,925,51,184
480,915,54,194
470,920,53,191
330,960,40,144
220,990,24,86
0,1004,-1,-4
450,925,51,184
480,915,54,194
420,925,51,184
300,970,36,130
0,1000,-1,-4
430,935,48,173
480,915,54,194
400,930,50,180
250,980,31,112
0,1002,-1,-4
450,930,50,180
480,920,53,191
330,960,40,144
180,990,24,86
0,1004,-1,-4
450,930,50,180
480,920,53,191
280,970,36,130
160,992,22,79
0,1004,-1,-4
430,935,48,173
450,930,50,180
250,975,34,122
150,998,18,65
0,1004,-1,-4
400,940,47,169
400,940,47,169
230,985,27,97
0,1000,-1,-4
370,945,45,162
320,960,40,144
170,990,24,86
0,1002,-1,-4
360,955,41,148
300,975,34,122
0,998,-1,-4
380,950,43,155
250,985,27,97
0,1002,-1,-4
380,955,41,148
200,990,24,86
0,1004,-1,-4
380,965,38,137
180,996,19,68
0,1004,-1,-4
350,975,34,122
0,1000,-1,-4
280,985,27,97
0,1002,-1,-4
180,994,21,76
0,1003,-1,-4
0,998,-1,-4
120,1000,17,61
200,996,19,68
0,1000,-1,-4
120,1000,17,61
210,994,21,76
0,1002,-1,-4
120,1000,17,61
200,996,19,68
0,1002,-1,-4
150,996,19,68
0,1002,-1,-4
150,998,18,65
0,1004,-1,-4
150,998,18,65
0,1002,-1,-4
150,1000,18,65
0,1004,-1,-4
0,1002,-1,-4
200,1000,18,65
220,994,21,76
240,992,22,79
260,990,24,86
0,1002,-1,-4
200,998,18,65
220,994,21,76
240,990,24,86
230,992,22,79
0,1002,-1,-4
220,996,19,68
230,992,22,79
250,990,24,86
230,992,22,79
0,1002,-1,-4
230,994,21,76
250,990,24,86
200,992,22,79
0,1000,-1,-4
230,994,21,76
250,990,24,86
180,992,22,79
0,1000,-1,-4
250,994,21,76
300,985,27,97
200,990,24,86
0,1004,-1,-4
260,992,22,79
280,985,27,97
0,998,-1,-4
280,985,27,97
270,990,24,86
0,1000,-1,-4
280,985,27,97
250,990,24,86
0,1002,-1,-4
280,980,31,112
200,994,21,76
0,1002,-1,-4
270,985,27,97
150,998,18,65
0,1002,-1,-4
270,985,27,97
0,1002,-1,-4
270,985,27,97
0,1002,-1,-4
260,990,24,86
0,1002,-1,-4
0,998,-1,-4
170,998,18,65
180,994,21,76
0,1002,-1,-4
210,996,19,68
200,994,21,76
0,1002,-1,-4
220,994,21,76
0,1000,-1,-4
220,992,22,79
0,1002,-1,-4
200,994,21,76
0,1004,-1,-4
180,996,19,68
0,1004,-1,-4
0,1000,-1,-4
180,1000,18,65
200,996,19,68
220,994,21,76
230,992,22,79
250,990,24,86
250,990,24,86
200,990,24,86
250,965,38,137
300,950,43,155
280,960,40,144
250,960,40,144
220,970,36,130
200,975,34,122
300,955,41,148
250,970,36,130
280,965,38,137
250,970,36,130
150,980,31,112
230,955,41,148
320,940,47,169
300,950,43,155
320,940,47,169
280,965,38,137
150,996,19,68
230,955,41,148
320,940,47,169
300,960,40,144
300,955,41,148
230,980,31,112
0,1000,-1,-4
230,955,41,148
320,945,45,162
300,955,41,148
280,960,40,144
200,990,24,86
0,1002,-1,-4
280,940,47,169
250,960,40,144
270,955,41,148
230,975,34,122
0,1000,-1,-4
300,930,50,180
250,955,41,148
280,950,43,155
200,975,34,122
0,1000,-1,-4
280,940,47,169
250,955,41,148
250,955,41,148
200,975,34,122
0,1000,-1,-4
280,955,41,148
280,945,45,162
230,955,41,148
180,985,27,97
0,1000,-1,-4
280,960,40,144
280,950,43,155
250,955,41,148
150,994,21,76
0,1000,-1,-4
250,965,38,137
280,950,43,155
200,970,36,130
150,998,18,65
0,1002,-1,-4
280,960,40,144
300,945,45,162
200,975,34,122
0,1000,-1,-4
320,955,41,148
350,945,45,162
180,980,31,112
0,1004,-1,-4
330,955,41,148
340,950,43,155
150,985,27,97
0,1004,-1,-4
330,955,41,148
280,960,40,144
150,994,21,76
0,1000,-1,-4
330,955,41,148
230,975,34,122
0,998,-1,-4
320,955,41,148
200,985,27,97
0,1000,-1,-4
300,965,38,137
180,990,24,86
0,1004,-1,-4
300,970,36,130
0,998,-1,-4
310,985,27,97
0,998,-1,-4
200,994,21,76
0,1000,-1,-4
0,996,-1,-4
150,996,19,68
170,994,21,76
200,990,24,86
250,985,27,97
250,985,27,97
150,996,19,68
150,996,19,68
170,994,21,76
200,990,24,86
280,980,31,112
230,985,27,97
130,998,18,65
170,994,21,76
200,990,24,86
230,985,27,97
300,975,34,122
180,990,24,86
0,1000,-1,-4
180,992,22,79
200,990,24,86
230,985,27,97
270,980,31,112
150,996,19,68
0,1000,-1,-4
180,992,22,79
220,988,25,90
270,980,31,112
230,985,27,97
0,1000,-1,-4
200,990,24,86
230,985,27,97
300,975,34,122
200,990,24,86
0,1000,-1,-4
200,988,25,90
230,982,30,108
300,975,34,122
180,990,24,86
0,1000,-1,-4
200,985,27,97
250,980,31,112
250,980,31,112
180,992,22,79
0,1000,-1,-4
200,985,27,97
250,980,31,112
180,985,27,97
0,1000,-1,-4
230,980,31,112
250,980,31,112
